iteration	alpha_actor	alpha_critic	gamma	negReward	fit	ratio
172	0.01	0.01	0.201407	0.0218753	-50.8106	1.0204
173	0.01	0.01	0.202266	0.00870345	-50.0837	0.985693
174	0.01	0.01	0.212274	0.0218124	-51.168	1.02165
175	0.01	0.01	0.215438	0.0348376	-52.7255	1.03044
176	0.01	0.01	0.212791	0.0462181	-53.0995	1.00709
177	0.01	0.01	0.212414	0.069861	-55.3229	1.04187
178	0.01	0.01	0.205614	0.0594007	-54.7774	0.990139
179	0.01	0.01	0.206459	0.0515674	-53.4533	0.975828
180	0.01	0.01	0.208918	0.0538064	-54.2821	1.01551
181	0.01	0.01	0.204409	0.0543633	-54.5507	1.00495
182	0.01	0.01	0.199509	0.0550102	-54.7643	1.00392
183	0.01	0.01	0.189831	0.0382943	-52.3036	0.955068
184	0.01	0.01	0.188109	0.0416214	-52.511	1.00396
185	0.01	0.01	0.170841	0.0493829	-53.5256	1.01932
186	0.01	0.01	0.167211	0.0444312	-52.929	0.988853
187	0.01	0.01	0.150829	0.0396627	-53.0321	1.00195
188	0.01	0.01	0.142092	0.0336454	-52.1616	0.983584
189	0.01	0.01	0.14556	0.0407457	-53.5396	1.02642
190	0.01	0.01	0.129707	0.0202335	-50.9707	0.952018
191	0.01	0.01	0.124197	0.0180517	-52.0698	1.02156
192	0.01	0.01	0.120851	0.01691	-50.5285	0.970401
193	0.01	0.01	0.138839	0.0345306	-53.2261	1.05339
194	0.01	0.01	0.146881	0.0419969	-53.3714	1.00273
195	0.01	0.01	0.157347	0.0428709	-53.8259	1.00852
196	0.01	0.01	0.175213	0.0555455	-53.6858	0.997397
197	0.01	0.01	0.17304	0.0729659	-54.312	1.01166
198	0.01	0.01	0.19188	0.0936075	-56.775	1.04535
199	0.01	0.01	0.171755	0.106748	-57.8453	1.01885
200	0.01	0.01	0.176451	0.107482	-58.8742	1.01779
201	0.01	0.01	0.179456	0.125401	-61.7722	1.04922
202	0.01	0.01	0.195789	0.123431	-58.9569	0.954425
203	0.01	0.01	0.187239	0.114249	-59.6785	1.01224
204	0.01	0.01	0.180542	0.123543	-59.2228	0.992363
205	0.01	0.01	0.161637	0.134403	-61.0183	1.03032
206	0.01	0.01	0.158193	0.13925	-61.6169	1.00981
207	0.01	0.01	0.161055	0.144813	-60.1578	0.976319
208	0.01	0.01	0.166432	0.143316	-61.3027	1.01903
209	0.01	0.01	0.169416	0.147548	-62.3295	1.01675
210	0.01	0.01	0.159832	0.150421	-62.6661	1.0054
211	0.01	0.01	0.167045	0.163404	-65.1476	1.0396
212	0.01	0.01	0.164954	0.158354	-62.859	0.964871
213	0.01	0.01	0.137667	0.17063	-64.2045	1.02141
214	0.01	0.01	0.147621	0.172402	-63.4215	0.987804
215	0.01	0.01	0.155477	0.15797	-62.505	0.985548
216	0.01	0.01	0.16137	0.161659	-63.2334	1.01165
217	0.01	0.01	0.153085	0.14259	-61.5372	0.973176
218	0.01	0.01	0.170624	0.131585	-62.2344	1.01133
219	0.01	0.01	0.171071	0.133806	-60.1716	0.966853
220	0.01	0.01	0.175165	0.122526	-58.7257	0.975971
221	0.01	0.01	0.178204	0.114759	-58.2849	0.992494
